,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,RANGO ENTRE 0 Y 15 CBM,,,,,,,
PUERTO CARGA,PAIS ,TON / M3 Usd,MINIMO,FREC. ,T / T APROX.,SERVICIO,,,
BRISBANE ,AUSTRALIA,"USD 80,00","USD 80,00",SEMANAL,63,VIA BUSAN,,,
FREMANTLE,AUSTRALIA,"USD 80,00","USD 80,00",SEMANAL,74,VIA BUSAN,,,
MELBOURNE ,AUSTRALIA,"USD 80,00","USD 80,00",SEMANAL,71,VIA BUSAN,,,
SYDNEY ,AUSTRALIA,"USD 80,00","USD 80,00",SEMANAL,64,VIA BUSAN,,,
CHITTAGONG ,BANGLADESH,"USD 65,00","USD 65,00",SEMANAL,75,VIA BUSAN,,,
SIHANOUKVILLE,CAMBODIA,"USD 80,00","USD 80,00",SEMANAL,65,VIA BUSAN,,,
DALIAN ,CHINA,"USD 10,00","USD 10,00",SEMANAL,52,VIA BUSAN,,,
DONGGUAN,CHINA,"USD 10,00","USD 10,00",SEMANAL,52,VIA SHENZHEN,,,
FUZHOU ,CHINA,"USD 10,00","USD 10,00",SEMANAL,52,VIA HONG KONG,,,
GUANGZHOU ,CHINA,"USD 1,00","USD 1,00",SEMANAL,49,VIA HONG KONG,,,
HONG KONG,CHINA,"USD 1,00","USD 1,00",SEMANAL,47,DIRECTO,,,
HUANGPU,CHINA,"USD 10,00","USD 10,00",SEMANAL,49,VIA HONG KONG,,,
JIANGMEN  ,CHINA,"USD 10,00","USD 10,00",SEMANAL,49,VIA SHENZHEN,,,
NINGBO,CHINA,"USD 1,00","USD 1,00",SEMANAL,40,DIRECTO,,,
QINGDAO (CAMBIO DE NAVE O CONEXIÓN EN BUSAN),CHINA,"USD 1,00","USD 1,00",SEMANAL,42,DIRECTO,,,
RONGQI ,CHINA,"USD 10,00","USD 10,00",SEMANAL,51,VIA HONG KONG,,,
SHANGHAI,CHINA,"USD 1,00","USD 1,00",SEMANAL,42,DIRECTO,,,
SHANTOU,CHINA,"USD 10,00","USD 10,00",SEMANAL,49,VIA SHENZHEN,,,
SHENZHEN ,CHINA,"USD 1,00","USD 1,00",SEMANAL,47,DIRECTO,,,
SHUNDE (FOSHAN) ,CHINA,"USD 10,00","USD 10,00",SEMANAL,50,VIA SHENZHEN,,,
XIAMEN  ,CHINA,"USD 1,00","USD 1,00",SEMANAL,51,VIA HONG KONG,,,
XINGANG (TIANJIN) (CAMBIO DE NAVE O CONEXION EN BUSAN) ,CHINA,"USD 1,00","USD 1,00",SEMANAL,47,DIRECTO,,,
YANTIAN ,CHINA,"USD 1,00","USD 1,00",SEMANAL,47,VIA SHENZHEN,,,
ZHONGSHAN,CHINA,"USD 10,00","USD 10,00",SEMANAL,50,VIA HONG KONG,,,
ZHUHAI,CHINA,"USD 10,00","USD 10,00",SEMANAL,50,VIA HONG KONG,,,
DUBAI ,EMIRATOS ARABES UNIDOS,"USD 80,00","USD 80,00",SEMANAL,89,VIA BCN/VLC,,,
AHMADDABAD ,INDIA,"USD 70,00","USD 70,00",SEMANAL,80,VIA NAVA SHEVA,,,
BANGALORE ,INDIA,"USD 70,00","USD 70,00",SEMANAL,75,VIA NAVA SHEVA,,,
CALCUTA ,INDIA,"USD 50,00","USD 50,00",SEMANAL,69,VIA BUSAN,,,
CHENNAI / MADRAS,INDIA,"USD 50,00","USD 50,00",SEMANAL,63,VIA BUSAN ,,,
COCHIN ,INDIA,"USD 90,00","USD 90,00",SEMANAL,72,VIA BUSAN,,,
HYDERABAD,INDIA,"USD 75,00","USD 75,00",SEMANAL,85,VIA NAVA SHEVA,,,
LUDHIANA,INDIA,"USD 70,00","USD 70,00",SEMANAL,85,VIA NAVA SHEVA,,,
MUMBAI  (CAMBIO DE NAVE O CONEXIÓN EN BUSAN) ,INDIA,"USD 25,00","USD 25,00",SEMANAL,73,VIA NAVA SHEVA,,,
NAVA SHEVA ,INDIA,"USD 5,00","USD 5,00",SEMANAL,72,DIRECTO ,,,
NEW DELHI (CAMBIO DE NAVE O CONEXIÓN EN BUSAN)  ,INDIA,"USD 80,00","USD 80,00",SEMANAL,80,VIA NAVA SHEVA,,,
TUTICORIN ,INDIA,"USD 70,00","USD 70,00",SEMANAL,69,VIA BUSAN,,,
JAKARTA ,INDONESIA,"USD 50,00","USD 50,00",SEMANAL,60,VIA BUSAN,,,
SEMERANG ,INDONESIA,"USD 50,00","USD 50,00",SEMANAL,66,VIA HONG KONG,,,
SURABAYA ,INDONESIA,"USD 50,00","USD 50,00",SEMANAL,66,VIA HONG KONG,,,
KOBE ,JAPON,"USD 20,00","USD 20,00",SEMANAL,51,VIA BUSAN,,,
NAGOYA ,JAPON,"USD 20,00","USD 20,00",SEMANAL,51,VIA BUSAN,,,
OSAKA ,JAPON,"USD 20,00","USD 20,00",SEMANAL,51,VIA BUSAN,,,
TOKYO ,JAPON,"USD 20,00","USD 20,00",SEMANAL,51,VIA BUSAN,,,
YOKOHAMA ,JAPON,"USD 20,00","USD 20,00",SEMANAL,51,VIA BUSAN,,,
BUSAN ,KOREA,"USD 1,00","USD 1,00",SEMANAL,42,DIRECTO,,,
PASIR GUDANG ,MALASYA,"USD 80,00","USD 80,00",SEMANAL,62,VIA BUSAN,,,
PENNANG,MALASYA,"USD 60,00","USD 60,00",SEMANAL,59,VIA HONG KONG,,,
PORT KELANG ,MALASYA,"USD 45,00","USD 45,00",SEMANAL,60,VIA BUSAN,,,
AUCKLAND ,NEW ZEALAND,"USD 95,00","USD 95,00",SEMANAL,70,VIA BUSAN,,,
KARACHI ,PAKISTAN,"USD 50,00","USD 50,00",SEMANAL,69,VIA BUSAN,,,
CEBU ,PHILIPINAS,"USD 65,00","USD 65,00",SEMANAL,60,VIA BUSAN,,,
MANILA ,PHILIPINAS,"USD 65,00","USD 65,00",SEMANAL,54,VIA BUSAN,,,
SINGAPORE (CAMBIO DE NAVE O CONEXION EN BUSAN)  ,SINGAPUR,"USD 1,00","USD 1,00",SEMANAL,57,VIA BUSAN,,,
COLOMBO  ,SRI LANKA,"USD 75,00","USD 75,00",SEMANAL,70,VIA BUSAN,,,
KAOSHIUNG,TAIWAN,"USD 1,00","USD 1,00",SEMANAL,48,VIA BUSAN ,,,
KEELUNG / TAIPEI,TAIWAN,"USD 1,00","USD 1,00",SEMANAL,49,DIRECTO,,,
BANGKOK,THAILANDIA,"USD 35,00","USD 35,00",SEMANAL,58,VIA BUSAN,,,
HAIPHONG ,VIETNAM,"USD 35,00","USD 35,00",SEMANAL,58,VIA HONG KONG,,,
HO CHI MINH ,VIETNAM,"USD 35,00","USD 35,00",SEMANAL,58,VIA HONG KONG,,,
,,,,,,,,,
,,,,,,,,,
REMARKS: ,,,,,,,,,
,,,,,,,,,
VIGENCIA DE TARIFAS PARA CARGAS EMBARCADAS DESDE EL 01/08/25 AL 31/08/25,,,,,,,,,
TARIFAS SOLO SERAN VÁLIDADAS POR CARGAS RUTEADAS A TRAVÉS DE MSL CHILE EN CONDICION DE FLETE COLLECT,,,,,,,,,
,,,,,,,,,
"Cotización válida para carga apilable, no IMO, de peso y medidas estándar",,,,,,,,,
"Tarifas válidas hasta 15 CBM y hasta 5 tons, cargas mayor peso/volumen cotizar caso a caso.",,,,,,,,,
"RECARGO SOBRE PESO POR BL:    Sobre 8 ton, tendrá un recargó de usd 8 W/M. Sobre 10 ton revisar caso a caso",,,,,,,,,
"Nota: En el caso de cargas sobre las 5 Ton donde el peso sea mayor que el volumen, considerar que podrían tener extra-costos de origen, el cual se tendría que revisar caso a caso. ",,,,,,,,,
Cargas provenientes de Alemania considerar 1tons = 2 cbm.,,,,,,,,,
,,,,,,,,,
"·         Cotización válida para carga apilable, no IMO, de peso y medidas estándar. ",,,,,,,,,
·         Tarifas no incluyen inspecciones de aduana realizadas en puertos de embarques. y/o transbordos,,,,,,,,,
"·         Tiempos de tránsito presentados son estimados, NO garantizados",,,,,,,,,
"·         Considerar que tiempos de transito para cargas via no incluyen procesos por desconsolidacion, inspecciones en puerto transbordo y/o Origen, tramites aduaneros y entregas a stacking.",,,,,,,,,
·         Pick up en origen internos son servicios con tiempos estimados no garantizados a menos que se requiera un servicio Priority. Los días de tránsito considerados son días hábiles y el día de la recogida ,,,,,,,,,
          no se incluye entre estos. ,,,,,,,,,
·         Esta tarifa está sujeta a cambios según las dimensiones de la carga. ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"NOTA:  Para cargas IMO, sobredimensión  y/o extra peso favor cotizar directamente con sus ejecutivos.",,,,,,,,,
Adicional considerar las siiguientes medidas para consolidacion de mercaderias: ,,,,,,,,,
Largo mayor a 3 mts consultar caso a caso,,,,,,,,,
"Ancho mayor a 2,10 mts se recomienda cargar en unidad 40 HC, en caso de requerir consultar directamente con sus ejecutivos el recargo a aplicar",,,,,,,,,
"Alto mayor a 2 mts se recomienda cargar en unidad 40 HC, en caso de requerir consultar directamente con sus ejecutivos el recargo a aplicar",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,RANGO ENTRE 0 Y 15 CBM,,,,,,,
PUERTO CARGA,PAIS ,TON / M3 Usd,MINIMO,T / T APROX.,FREC.,OTROS,SERVICIO,AGENTE,OBSERVACIONES
ANTWERP,BELGIUM,"EUR 25,00","EUR 25,00",35,SEMANAL,,DIRECTO,FPS ANTWERP,
ROTTERDAM,NETHERLAND,"EUR 25,00","EUR 25,00",39,SEMANAL,,DIRECTO,MSL NETHERLAND,
HAMBURG,GERMANY,"EUR 25,00","EUR 25,00",35,SEMANAL,,DIRECTO,EUROCONSOL,
PARIS,FRANCE,"EUR 65,00","EUR 65,00",42,SEMANAL,,VIA LE HAVRE,TCC LOGISTICS,
LE HAVRE,FRANCE,"EUR 25,00","EUR 25,00",38,SEMANAL,,DIRECTO,TCC LOGISTICS,
MARSEILLE,FRANCE,"EUR 80,00","EUR 80,00",49,SEMANAL,,VIA BCN/VLC,IFS BCN/VLC,
LYON,FRANCE,"EUR 90,00","EUR 90,00",49,SEMANAL,,VIA BCN/VLC,IFS BCN/VLC,
SALZBURG,AUSTRIA,"EUR 130,00","EUR 130,00",47,SEMANAL,"T1/in-out: EUR 155,00 X BL",VIA ROTTERDAM,MSL NETHERLAND,
VIENNA ,AUSTRIA,"EUR 170,00","EUR 170,00",47,SEMANAL,"T1/in-out: EUR 155,00 X BL",VIA ROTTERDAM,MSL NETHERLAND,
DUBLIN ,IRELAND,"EUR 120,00","EUR 120,00",46,SEMANAL,,VIA ROTTERDAM,MSL NETHERLAND,
OSLO,NORWAY,"EUR 135,00","EUR 135,00",50,SEMANAL,"T1/in-out: EUR 155,00 X BL",VIA ROTTERDAM,MSL NETHERLAND,
GOTHERNBURG,SWEDEN,"EUR 120,00","EUR 120,00",47,SEMANAL,,VIA ROTTERDAM,MSL NETHERLAND,
MALMO,SWEDEN,"EUR 140,00","EUR 140,00",47,SEMANAL,,VIA ROTTERDAM,MSL NETHERLAND,
COPENHAGUEN,DENMARK,"EUR 100,00","EUR 100,00",47,SEMANAL,"T1/in-out: EUR 155,00 X BL",VIA ROTTERDAM,MSL NETHERLAND,
BASEL / BASLE,SWITZERLAND,"EUR 82,00","EUR 82,00",46,SEMANAL,"1m3 = 333 kgs; + T1/in-out: EUR 155,00 X BL",VIA ROTTERDAM,MSL NETHERLAND,
ZURICH,SWITZERLAND,"EUR 75,00","EUR 75,00",46,SEMANAL,"1m3 = 333 kgs; + T1/in-out: EUR 155,00 X BL",VIA ROTTERDAM,MSL NETHERLAND,
"TILBURY  (CAMBIO DE NAVE O CONEXIÓN EN CARTAGENA, CO)",UK,"EUR 25,00","EUR 25,00",39,SEMANAL,,DIRECTO,MSL U.K ,
"BARCELONA (CONEXION CARTAGENA, CO)  ",ESPAÑA,"EUR 25,00","EUR 25,00",42,SEMANAL,,DIRECTO,IFS BCN / VLC,
"VALENCIA (CONEXION CARTAGENA, CO)  ",ESPAÑA,"EUR 25,00","EUR 25,00",42,SEMANAL,,DIRECTO,IFS BCN / VLC,
BILBAO ,ESPAÑA,"EUR 80,00","EUR 80,00",48,SEMANAL,,VIA BCN/VLC,IFS BCN / VLC,
MADRID ,ESPAÑA,"EUR 80,00","EUR 80,00",48,SEMANAL,,VIA BCN/VLC,IFS BCN / VLC,
SEVILLA,ESPAÑA,"EUR 87,00","EUR 87,00",48,SEMANAL ,,VIA BCN/VLC,IFS BCN / VLC,
TENERIFE,ESPAÑA,"EUR 89,00","EUR 89,00",48,SEMANAL,,VIA BCN/VLC,IFS BCN / VLC,
VIGO,ESPAÑA,"EUR 100,00","EUR 100,00",48,SEMANAL,,VIA BCN/VLC,IFS BCN / VLC,
LISBOA,PORTUGAL,"EUR 82,00","EUR 82,00",48,SEMANAL ,Transit EUR 14.00,VIA BCN/VLC,IFS BCN / VLC,
OPORTO,PORTUGAL,"EUR 82,00","EUR 82,00",48,SEMANAL,Transit EUR 14.00,VIA BCN/VLC,IFS BCN / VLC,
PIREAUS,GREECE,"USD 100,00","USD 100,00",53,SEMANAL,Transit USD 15.00,VIA BCN/VLC,IFS BCN / VLC,
HAIFA ,ISRAEL,"USD 92,00","USD 92,00",55,SEMANAL,Transit USD 15.00,VIA BCN/VLC,IFS BCN / VLC,
ALEXANDRIA ,EGYPT,"EUR 82,00","EUR 82,00",68,SEMANAL,Transit EUR 14.00,VIA BCN/VLC,IFS BCN / VLC,
DURBAN ,SUDAFRICA,"USD 140,00","USD 140,00",75,SEMANAL,,VIA ROTTERDAM,MSL NETHERLAND,
CAPE TOWN,SUDAFRICA,"USD 140,00","USD 140,00",80,SEMANAL,,VIA ROTTERDAM,MSL NETHERLAND,
ISTAMBUL,TURQUIA,"USD 65,00","USD 65,00",59,SEMANAL,,VIA BCN/VLC,IFS BCN / VLC,
IZMIR,TURQUIA,"USD 65,00","USD 65,00",63,SEMANAL,Transit USD 15.00,VIA BCN/VLC,IFS BCN / VLC,
MERSIN,TURQUIA,"USD 65,00","USD 65,00",63,SEMANAL,,VIA ROTTERDAM,MSL NETHERLAND,
"GENOA (CONEXIÓN CARTAGENA, CO",ITALIA,"EUR 25,00","EUR 25,00",37,SEMANAL, ,DIRECTO,CSA,
,,,,,,,,,
,,,,,,,,,
REMARKS: ,,,,,,,,,
,,,,,,,,,
VIGENCIA DE TARIFAS PARA CARGAS EMBARCADAS DESDE EL 01/08/25 AL 31/08/25,,,,,,,,,
TARIFAS SOLO SERAN VÁLIDADAS POR CARGAS RUTEADAS A TRAVÉS DE MSL CHILE EN CONDICION DE FLETE COLLECT,,,,,,,,,
,,,,,,,,,
"Cotización válida para carga apilable, no IMO, de peso y medidas estándar",,,,,,,,,
"Tarifas válidas hasta 15 CBM y hasta 5 tons, cargas mayor peso/volumen cotizar caso a caso.",,,,,,,,,
"RECARGO SOBRE PESO POR BL:    Sobre 8 ton, tendrá un recargó de usd 8 W/M. Sobre 10 ton revisar caso a caso",,,,,,,,,
"Nota: En el caso de cargas sobre las 5 Ton donde el peso sea mayor que el volumen, considerar que podrían tener extra-costos de origen, el cual se tendría que revisar caso a caso. ",,,,,,,,,
Cargas provenientes de Alemania considerar 1tons = 2 cbm.,,,,,,,,,
,,,,,,,,,
"·         Cotización válida para carga apilable, no IMO, de peso y medidas estándar. ",,,,,,,,,
·         Tarifas no incluyen inspecciones de aduana realizadas en puertos de embarques. y/o transbordos,,,,,,,,,
"·         Tiempos de tránsito presentados son estimados, NO garantizados",,,,,,,,,
"·         Considerar que tiempos de transito para cargas via no incluyen procesos por desconsolidacion, inspecciones en puerto transbordo y/o Origen, tramites aduaneros y entregas a stacking.",,,,,,,,,
·         Pick up en origen internos son servicios con tiempos estimados no garantizados a menos que se requiera un servicio Priority. Los días de tránsito considerados son días hábiles y el día de la recogida ,,,,,,,,,
          no se incluye entre estos. ,,,,,,,,,
·         Esta tarifa está sujeta a cambios según las dimensiones de la carga. ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"NOTA:  Para cargas IMO, sobredimensión  y/o extra peso favor cotizar directamente con sus ejecutivos.",,,,,,,,,
Adicional considerar las siiguientes medidas para consolidacion de mercaderias: ,,,,,,,,,
Largo mayor a 3 mts consultar caso a caso,,,,,,,,,
"Ancho mayor a 2,10 mts se recomienda cargar en unidad 40 HC, en caso de requerir consultar directamente con sus ejecutivos el recargo a aplicar",,,,,,,,,
